experiment,irr_r1i1p1f2,irr_r1i1p1f2,irr_r2i1p1f2,irr_r2i1p1f2,irr_r3i1p1f2,irr_r3i1p1f2,irr_r4i1p1f2,irr_r4i1p1f2,irr_r5i1p1f2,irr_r5i1p1f2,noirr_r1i1p1f2,noirr_r1i1p1f2,noirr_r2i1p1f2,noirr_r2i1p1f2,noirr_r3i1p1f2,noirr_r3i1p1f2,noirr_r4i1p1f2,noirr_r4i1p1f2,noirr_r5i1p1f2,noirr_r5i1p1f2
1973,238.0130499,101.2892041,237.8924484,101.4883066,237.5251537,101.5300591,237.7563836,101.3254328,237.8995823,101.5042553,237.8859706,101.236812,237.8503316,101.368869,237.8149385,101.3954694,237.8250613,101.4878381,237.8926228,101.1845368
1974,237.7128289,101.3223958,237.5524461,101.4064747,237.9164091,101.2239871,237.7180344,101.3097768,237.5740488,101.3514852,238.0566412,101.0204358,237.7296774,101.2826625,237.8839896,101.115982,237.9310605,101.17225,237.9349857,101.3561601
1975,238.1931638,101.5582216,238.0794532,101.5821458,238.2181827,101.5563141,237.9873269,101.5079165,237.8269416,101.6119998,238.2594496,101.3523919,238.0577479,101.4415518,237.9872375,101.5094139,238.2741499,101.3547006,238.232157,101.3377022
1976,237.693235,101.1451573,237.5573934,101.3430605,237.6749722,101.2256239,237.5805573,101.2608779,237.7183994,101.2126096,237.6553652,101.0382946,237.4759254,101.2237014,237.5379685,101.3889245,237.7311149,101.2665859,237.5902794,101.0314989
1977,237.4893472,101.7658836,237.6059185,101.3911162,237.5565409,101.5953558,237.4460553,101.6981737,237.5246775,101.493377,237.7844642,101.6356869,237.6444179,101.7035024,237.6798532,101.5051487,237.5690035,101.8323505,237.7788168,101.3232763
1978,237.6637359,101.3167266,237.6099146,101.2604107,237.7933291,101.434483,237.6892428,101.2811171,237.8733667,101.4757754,237.8970369,101.0752213,237.7431933,101.2351764,237.6875119,101.2985189,237.7399624,101.337534,237.5316622,101.2113069
1979,237.6937685,101.297499,237.5658264,101.2757915,237.8827291,101.0678346,237.6022075,101.3437907,237.5042228,101.3728169,237.8584896,101.1039567,237.6638954,101.3161372,237.6603188,101.3254036,237.6610015,101.3656877,237.6148967,101.2629008
1980,238.3890156,101.3212256,237.8813622,101.5586311,238.1731512,101.3357973,238.1861155,101.323447,237.9699245,101.4937432,238.0917974,101.4651743,238.3569992,101.4588712,238.1588123,101.3710201,238.3081659,101.2583343,238.119956,101.4113015
1981,237.9198706,101.2383912,238.0095828,101.1450848,238.1415032,101.2119904,237.9940196,101.0852283,237.8251799,101.1781713,238.1272803,101.117287,238.1193808,101.0113853,238.3624626,101.0289464,238.225065,100.9242841,237.9398819,101.1750187
1982,237.6731323,101.7876186,237.8984177,101.4180708,237.5643274,101.893521,237.6795256,101.6177199,237.721083,101.5486603,237.7884675,101.4747382,237.7561523,101.3620015,237.7074211,101.7545619,238.0317505,101.5248655,238.0166401,101.4731778
1983,237.4315916,101.7876649,237.3747332,101.7206001,237.3390528,101.7611484,237.1806342,101.7069003,237.4803005,101.6692813,237.6709383,101.336241,237.2396961,101.6304729,237.2377499,101.7790573,237.2676817,101.7630926,237.4894214,101.498861
1984,237.4600521,101.5235215,237.1156544,101.6816772,237.285776,101.6430491,237.0273659,101.5459369,237.3822914,101.4957481,237.5131045,101.3389132,237.4621897,101.4059347,237.3705787,101.4730499,237.3522572,101.3803215,237.5339254,101.3156055
1985,237.6662882,101.2761635,237.6282798,101.3225778,237.8496007,101.4010925,237.7842166,101.3015607,237.7881354,101.3451603,237.7944099,101.3839146,237.7503631,101.0916465,237.8377993,101.4441703,237.6487647,101.5226818,237.6991161,101.206135
1986,237.5879194,101.3743268,237.7047837,101.5401786,237.6295375,101.3557792,237.6649027,101.369644,237.7318885,101.252796,237.8386682,101.4086572,237.8315974,101.4285512,237.8886367,101.201398,237.7772564,101.3864118,237.8147222,101.4439049
1987,237.7393727,101.3979344,237.9650959,101.2787892,238.0446636,101.400173,238.0336342,101.3134532,238.1296125,101.2255336,238.133396,101.1738,238.1542073,101.2715085,237.9478634,101.1841374,238.2074763,101.1172435,237.9355854,101.1740001
1988,237.8681955,101.1554697,238.0932378,101.717373,237.9441451,101.2355634,238.1715959,101.2860175,237.860652,101.5518934,238.1087757,101.2103562,238.1897563,101.2287835,238.0166607,101.1718076,237.9415576,101.3277673,238.264907,101.198754
1989,237.7726367,100.9152947,237.3548259,100.9495382,237.895646,100.8948518,237.6614371,101.1944028,237.7169972,100.9711582,237.5768136,101.0455808,237.7351347,100.953552,237.8289429,100.8141663,237.7448275,100.8828401,237.5324936,101.0078417
1990,237.6928747,100.9276038,237.7112328,101.391227,237.7966068,101.3208713,237.7533793,101.1373229,237.8933765,100.9264362,237.8429763,101.3126386,237.9476059,101.1220292,237.6853035,101.1344791,237.6996575,101.2462925,237.8127598,101.2068936
1991,237.3171129,101.8809278,237.4813495,101.6743104,237.2948023,101.8859616,237.1161722,101.7948763,237.5266346,101.7031117,237.3004941,101.7393699,237.2404453,101.8873921,237.4104121,101.7895811,237.1912012,101.7812899,237.3629952,101.9887844
1992,237.08031,102.5460933,237.1204524,102.7161986,236.8855412,102.5269888,236.7005692,102.6529559,237.160963,102.5464597,236.9741318,102.5774533,237.2664345,102.4995075,236.9155691,102.6251367,236.8389732,102.7918023,237.1431618,102.3702646
1993,237.48159,101.8069114,237.3850968,102.0288782,237.5679586,101.9066992,237.3513065,102.0108819,237.5553083,101.9529082,237.4197358,101.9289538,237.7330632,101.8001172,237.4151104,102.0444942,237.4670682,101.9041862,237.6230478,101.5725443
1994,237.3267681,101.1624428,237.3612106,101.3124262,237.6164107,101.1843409,237.4816101,101.1644506,237.7176873,100.9715569,237.6046055,101.3048208,237.7116598,101.0071888,237.5239108,101.1965756,237.5671057,101.0520687,237.4975177,101.132672
1995,237.828716,101.1413619,237.7367119,101.321439,237.8828476,101.3044969,237.7849513,101.3800034,237.5600637,101.4838194,237.6801221,101.5285778,237.95412,101.3267299,237.9313649,101.3540732,237.7710938,101.3375602,237.8905138,101.6499482
1996,237.3695707,100.9429364,237.7257433,100.7974351,237.4226309,101.1823683,237.3386971,100.8976969,237.4281436,101.0378449,237.362798,101.101581,237.417527,101.2020624,237.6033307,100.8816592,237.5038541,100.9083207,237.5697266,100.9290855
1997,237.579423,101.1968448,237.6447014,101.325204,237.8658025,101.0770599,237.5336083,101.1591397,237.5886208,101.2214967,237.7193115,101.37947,237.6176843,101.2651633,237.7880482,101.0513922,237.7710103,101.1781379,237.819222,101.161943
1998,237.8542263,101.0951693,237.8027368,101.1383645,237.7641492,101.2355228,237.8941989,101.0381533,237.7125198,101.0030379,237.9587341,100.8819147,237.8576391,101.1560526,237.803329,100.9364522,237.8571365,101.2821946,238.0682392,101.10572
1999,237.6060711,101.3734785,237.6584039,101.2964344,237.5412392,101.3594277,237.6153396,101.2394448,237.6520372,101.1825703,237.4462026,101.40998,237.4113258,101.2819367,237.4813639,101.2144844,237.5104239,101.3158549,237.5678752,101.1918844
2000,237.8207786,100.9695264,237.4624168,101.0633944,237.7578358,101.1159275,237.7093061,101.0827998,237.7560029,100.822631,237.9298648,101.0401647,237.8168511,101.0775511,237.8107837,100.8438605,237.7667261,100.9302659,237.9349816,100.8242071
2001,238.3803215,101.0867279,238.3587212,101.0828987,238.0045104,101.2890103,238.0616471,101.3203304,238.1302293,101.0992062,238.3199217,101.3052972,238.1915932,101.1805615,238.0867269,101.0761868,238.0633874,101.060133,238.2487861,101.1469563
2002,237.4575611,101.1253754,237.5899233,101.0621629,237.6301808,101.1593051,237.8458367,100.8727526,237.4995316,100.8841536,237.5258877,101.0905829,237.5873501,100.9346821,237.7813232,100.8127201,237.3074004,101.1278892,237.6558426,100.9832467
2003,237.5569999,100.8178212,237.5853178,100.9621932,237.44617,101.0528416,237.3059812,101.1367131,237.6671912,100.9022176,237.4683715,101.1280271,237.6629277,100.8833647,237.5797573,100.620345,237.6638638,100.8141095,237.359559,101.0405207
2004,237.8455748,101.0957561,237.6123459,101.2911021,237.6680238,101.1339006,237.4540986,101.257902,237.6183476,101.1027868,237.9149121,101.0634691,237.851957,101.0091421,237.6929955,101.1669599,237.8407976,101.0244519,237.914948,100.9745779
2005,237.4025082,100.8923068,237.4084946,100.7994835,237.635545,100.5079733,237.3799563,101.0018852,237.2772021,100.7320383,237.6067177,100.7264612,237.6405249,100.6679798,237.7043429,100.6898468,237.465023,100.7518327,237.6252116,100.4859225
2006,237.6914764,100.8874482,237.5831369,100.9077713,237.9631399,100.6988614,237.4150035,101.1504731,237.5554481,101.0702738,237.7644175,100.565235,237.4884886,100.9648519,237.720431,100.7853836,237.8677914,100.8845776,237.6276568,100.8102449
2007,237.8909771,101.084527,238.1224759,100.9918581,237.9907253,101.089252,237.9184627,101.0837441,237.7387443,101.1289526,238.2588728,100.8148466,238.0953709,100.9563924,238.1501462,100.971887,237.8409141,101.0330129,238.1769288,100.9888037
2008,237.6558678,101.0230207,237.5850589,100.9624187,237.7212345,100.7521595,237.6407109,100.985803,237.5057231,101.0230836,237.7703362,100.654742,237.7533268,100.9998798,237.7429063,100.7450358,237.8619476,100.7777744,237.8948384,100.725185
2009,237.694849,100.7970113,237.5353103,100.6900572,237.5006527,100.9934612,237.4982662,100.8523112,237.6108886,100.8511455,237.4746601,100.8477348,237.6777834,100.8390969,237.5190177,100.9025814,237.6639685,100.7194656,237.6304433,100.8491694
2010,238.0911535,101.1665642,237.7582404,101.1809201,237.9609294,101.167064,237.9891243,101.1570201,237.813385,101.3995452,237.9390085,101.2645636,237.723239,101.1147553,238.1306591,100.8844991,237.8736157,101.2705711,237.903654,101.0144719
