experiment,irr_r1i1p1f2,irr_r1i1p1f2,irr_r2i1p1f2,irr_r2i1p1f2,irr_r3i1p1f2,irr_r3i1p1f2,irr_r4i1p1f2,irr_r4i1p1f2,irr_r5i1p1f2,irr_r5i1p1f2,noirr_r1i1p1f2,noirr_r1i1p1f2,noirr_r2i1p1f2,noirr_r2i1p1f2,noirr_r3i1p1f2,noirr_r3i1p1f2,noirr_r4i1p1f2,noirr_r4i1p1f2,noirr_r5i1p1f2,noirr_r5i1p1f2
variable,rlut,rsut,rlut,rsut,rlut,rsut,rlut,rsut,rlut,rsut,rlut,rsut,rlut,rsut,rlut,rsut,rlut,rsut,rlut,rsut
1901,238.5698183,100.8535127,238.6020477,100.7126015,238.6172365,100.7310464,238.5391525,100.7957441,238.653658,100.6690784,238.5396882,100.7357509,238.3801589,100.8241279,238.3833255,100.7318844,238.6615137,100.5922712,238.5664173,100.9727329
1902,238.0729264,100.783788,238.2274405,100.7546545,238.0440114,101.2090346,238.1551183,101.0667525,238.0069125,101.0507883,237.8959267,100.9951572,238.0794393,100.9800299,237.9588554,101.112603,238.1437286,100.8374931,238.0809447,100.9899218
1903,237.9795088,101.4380294,238.2604685,101.6737413,238.0723719,101.4781449,238.0930312,101.5405731,237.9938435,101.7634196,237.8991546,101.4964712,238.2783949,101.4803286,238.1702592,101.6421392,237.7280086,101.7481104,237.974338,101.4875206
1904,237.7784934,101.2938037,237.7010177,101.2279799,237.9138362,101.1942308,237.7962988,101.3698611,237.8694254,101.14132,237.7601458,101.3184642,237.8106807,101.3372799,237.9483946,101.247217,237.8602628,101.2060452,237.7167544,101.1715123
1905,237.8931753,101.0764208,237.8545063,101.160976,237.9358375,101.0545726,237.962712,100.8746897,237.8969963,100.9249081,237.9240101,101.2744517,238.1531541,100.9979109,237.848195,101.0003749,237.813429,100.9819632,237.9168435,100.9860265
1906,237.8978392,100.9457131,237.7657437,101.0661302,237.8265516,100.9746767,237.7470792,100.9890138,238.1575257,100.9486947,238.1440613,100.8522725,237.6984396,101.1135532,237.8199216,100.9350355,237.8184105,100.9162298,237.9298455,101.026011
1907,238.1099836,100.7227022,238.2691062,100.8354615,238.0402122,101.0100983,237.9553049,101.1211641,238.1340174,101.106331,238.0433581,100.9986286,238.1780607,101.0511083,238.289388,101.0989132,238.2351935,100.8987634,238.1810699,100.9870406
1908,238.2975787,100.980657,238.3788042,100.932763,238.3193052,100.9055097,238.2232933,100.9639429,238.3621864,100.9859995,238.3699489,101.0362301,238.153664,100.9385209,238.2899173,100.930304,238.1989812,100.8909433,238.3385683,100.9903308
1909,237.7553526,100.8505265,237.9128818,100.7166332,238.1485296,100.7608289,237.8963807,100.8271191,237.7334491,100.9190447,237.8050472,100.9819914,237.7406809,100.8957953,237.8323722,100.7233716,237.8523367,100.8729088,237.7112823,101.0166059
1910,237.8791935,101.0000212,237.7565644,101.1358847,237.7150564,101.070008,237.6921341,100.9387677,237.9498437,100.8902221,237.9750476,100.9221748,237.9264623,100.9712074,237.8830453,100.9331779,238.0187776,100.7968451,237.796767,101.142831
1911,238.0571488,101.0994398,237.8951985,101.2039784,237.8835462,100.9415075,238.0144916,101.2898885,238.0303936,101.0124589,238.1236898,101.0503543,237.9210684,101.2329156,237.6931724,101.3990938,237.7960601,101.2367688,237.850891,101.2126141
1912,237.9383494,101.4055301,237.6438085,101.3415193,237.7150802,101.3772044,238.0339568,101.1715302,237.8241035,101.3176028,237.771291,101.3580118,238.0636232,101.2403426,237.7953454,101.405079,237.8040429,101.2631402,238.0549553,101.1045788
1913,238.0062993,101.4209321,238.0295126,101.2672473,238.1364791,101.2759619,237.9819414,101.3683349,238.0299502,101.2680678,237.9932033,101.4133139,237.7173045,101.574372,238.0850551,101.4068664,238.0217295,101.2538936,238.0021724,101.3243899
1914,238.0532112,101.0083009,238.1400815,100.9832278,237.9420559,101.225472,238.1099707,101.0773969,238.1445092,100.8865727,238.1239153,101.066423,238.0965055,101.1195139,238.1261639,100.9126028,237.871729,101.0262215,238.091233,101.0920509
1915,237.724623,100.8567364,237.8358938,100.82449,237.9020665,100.8639201,237.9512815,100.7461378,237.8880077,100.8234349,237.7529424,101.0482,237.928607,100.7483421,237.6507131,100.908638,237.892223,100.7912361,237.8119166,100.9394836
1916,237.6708036,101.0499505,237.6673873,101.2626767,237.8040391,101.137937,238.0357726,100.9569334,237.4722169,101.2036591,237.7882313,101.1847839,237.8910916,101.0747669,237.7707659,101.0383666,237.5425134,101.0014968,237.8756045,101.0269655
1917,238.3455451,101.299554,238.3499771,101.2709259,238.4457375,101.3006092,238.4195201,101.2647324,238.0885589,101.4874213,238.2175018,101.3581947,238.2628354,101.1615919,238.3106298,101.3876473,238.2240518,101.3309048,238.1476597,101.3651152
1918,237.9548839,101.0728374,237.7475728,101.0814111,237.862878,101.0953071,237.9084524,100.9319503,237.5884552,101.2495893,237.7486834,100.9749773,237.591033,101.022826,237.8588426,101.1356201,237.7789965,101.0650966,237.7482666,101.1839657
1919,237.8917589,100.772706,237.7028154,101.0824419,237.9042682,100.9601562,238.0335586,100.7243281,237.4585282,100.9409837,237.9098461,100.7725268,237.9480583,100.6904361,237.7935805,100.9963968,237.8292361,100.9506807,237.8439474,100.8616338
1920,238.4216994,100.6896018,238.0356403,100.8487923,238.049563,100.7552034,238.213346,100.8482439,238.1875596,100.7490218,238.1579927,100.7946119,237.946831,100.8326297,238.0317129,101.0376475,238.2052702,100.8030417,237.9734352,100.8462059
1921,238.361496,100.9049826,238.1630374,101.0059335,238.2855885,100.9554454,238.2289098,100.903538,238.4843126,100.6524682,238.1057023,100.8394812,238.403932,100.6808032,238.342699,100.6858824,238.3148914,100.6929431,238.1611571,101.0031972
1922,237.9136839,101.2421418,238.2709129,101.1123407,237.9928115,101.0297913,237.9482486,101.1620303,238.2491228,101.032421,238.030432,100.910597,238.3201623,100.9931989,238.3348655,101.0813204,238.3165911,100.9759644,238.2315777,100.8354784
1923,238.0878713,100.8318219,237.959913,100.9821396,238.1396635,100.9781431,238.0899105,100.7037639,238.2321455,100.9228982,238.129505,100.9635553,238.1632109,100.942536,237.973998,100.99459,238.1592868,100.9726392,238.2580308,100.8097685
1924,237.941464,100.8502567,237.984025,101.0281522,237.8807177,101.1231809,237.9647905,100.7816572,237.9773887,100.8230074,237.9670505,100.9577559,237.969754,100.782875,238.0821889,100.7391128,237.6081657,100.9901684,237.978333,100.8084607
1925,238.0202573,100.9970116,238.0784056,101.0054389,237.9909309,100.9605547,238.3586007,101.0715203,237.9269234,101.0623047,238.2169504,100.8078047,238.2210549,100.9773241,238.0542762,101.2689003,238.1119622,101.0055658,238.1603191,100.8742561
1926,237.9587455,100.7633413,237.6674812,100.9837156,238.2076464,100.6587417,238.0711794,100.7948305,237.9945588,100.8604125,237.9621267,100.6282343,237.9831101,101.0416715,238.1552439,100.7247963,238.2188945,100.6433214,237.9985131,100.7311198
1927,237.9931294,101.2627625,237.8968742,101.4066386,238.3105308,101.2510382,238.2120988,101.089459,237.9348106,101.1944554,238.2157599,101.2172641,238.2020189,101.1324811,238.0143186,101.0790699,238.160032,101.2412103,238.2290959,101.1088585
1928,237.7894315,100.8421538,237.9919791,100.7788154,237.5822893,101.080237,237.8840024,100.9059475,237.6162682,101.1032704,237.5774207,101.1768871,237.712324,100.9218132,237.7346071,100.9273097,237.4269978,101.1945111,238.0487827,100.8689991
1929,237.4927518,101.277149,237.7708692,101.197846,237.6778851,101.1852732,237.6966481,101.3825688,237.7050414,101.1265859,237.7669096,101.227132,237.8287055,101.1539239,237.676819,101.3168697,237.6600415,101.1363959,237.6739742,101.0756583
1930,238.1450432,101.2603399,238.1997793,101.2498285,237.9489207,101.2099806,238.1675416,101.2437677,238.2033458,101.0987376,237.993486,101.183603,237.9701804,101.176191,238.1897231,101.1067584,238.100178,101.0705527,238.0774166,100.9823145
1931,238.1528603,100.9462589,238.1194034,101.0854933,237.950185,101.1551569,237.9132319,100.9564664,238.2147469,101.0727436,237.8505019,101.0902638,237.8024195,101.0594656,237.8038019,101.1875005,238.1460753,101.0361288,238.0268262,100.93579
1932,237.8187329,101.2049252,238.207535,101.1283791,237.9666091,101.2203468,238.2667812,100.9902638,237.9541215,101.2853461,238.1748933,101.0045306,237.7288674,101.2382745,237.8853665,101.2246143,237.7740401,101.1851229,237.9778923,101.2163396
1933,237.7531248,100.8497439,237.7456642,101.1203203,237.9399588,100.9894407,237.7242328,101.0670219,237.8708015,100.9928288,237.8747317,101.1525885,237.9575619,100.8530574,237.9839522,100.8320882,237.7943034,101.0468966,237.6823668,101.1880921
1934,237.9774133,100.8930222,238.1133912,100.7849487,238.1911024,100.8371563,237.9832777,100.9168003,238.1980597,100.8335064,238.3148574,100.5994539,238.0756225,100.8017917,238.237441,100.8507838,237.8147645,100.8565403,238.0519392,100.5859673
1935,237.9890773,101.0272031,238.1292072,101.1606696,237.9354452,101.0565111,238.1043857,101.0457397,237.9105584,101.2459903,238.1208424,100.9660567,237.972898,101.1554809,238.0336811,100.9879056,237.8417355,100.9684696,238.0446607,100.9779611
1936,237.9977694,101.0896704,237.8744388,101.0440685,237.5808247,101.0945511,238.0541708,100.9857004,237.9001776,101.0931774,237.7062919,101.2762642,237.9113277,101.0931773,238.2042489,101.0593186,238.0148946,100.9940463,237.9080041,100.9186327
1937,237.6442732,101.0115644,237.595014,101.0860409,237.6921175,101.0086085,237.8465852,101.0251254,237.7316483,101.0166441,237.5254073,101.0821405,237.8431603,100.8556818,237.8198782,101.0324463,237.5436775,101.0286392,237.6757488,101.0353361
1938,237.8262508,101.142597,237.7868706,101.07154,237.8994761,100.9759403,237.7565929,101.0857448,237.8868133,101.0173379,237.9273716,101.0439987,238.0762545,100.9435066,238.0296803,100.8899425,237.9597463,101.1133314,238.2306418,100.996282
1939,237.9648126,100.9339339,237.7401085,101.1681045,238.126216,100.886918,238.0571916,100.9383275,237.9081774,101.1792123,238.0145912,101.0032231,238.0798923,100.9756408,237.845667,100.9255928,237.9874255,100.8681698,237.9627799,101.0096883
1940,238.1434143,100.874512,238.0141952,101.0311517,238.1650438,100.4799284,237.9410956,100.8671501,238.0190367,100.9560448,238.1953282,100.6776083,237.9964,100.8997545,237.8644753,100.8265961,238.2338486,100.6905376,238.0473294,100.7420313
1941,238.0159854,100.9712689,237.9475296,100.7601629,238.1748832,100.809658,238.1990067,100.7833065,237.8766043,100.9762822,238.0939467,100.8600687,238.1358632,100.8802248,238.1949123,100.761559,238.0271762,100.8998834,238.3715955,100.7877979
1942,238.1744664,100.8786872,238.1741187,100.9944198,237.9948078,101.1314804,238.3675537,100.9739827,237.9428469,100.9821594,238.0722522,101.1168872,238.0581021,101.1532887,238.0759895,100.9715694,238.2133746,100.9696525,238.3050388,100.9898082
1943,237.9391313,100.9829755,238.0339891,100.8923173,238.1061086,100.896198,238.1989345,100.7275193,237.950314,100.8776168,238.0211244,101.0433079,237.9448205,100.9571909,237.9842381,100.7569427,238.1235321,100.7808744,238.0716987,100.8452082
1944,237.7029084,101.0771465,237.7091265,101.0688566,237.767218,101.0479214,237.9140017,100.7899147,237.9472379,100.8158045,237.7135187,100.873257,237.6977958,100.8541238,237.9097871,100.8959798,237.8437692,100.7471503,237.6718685,100.908533
1945,238.057757,100.9963624,238.1326662,100.9712366,238.2105504,100.9967147,238.2092017,100.8860574,238.0561658,100.9947394,238.3737614,101.0471445,237.9507061,101.078849,238.1468965,100.8596164,237.8623908,100.9719395,238.0086088,100.9497029
1946,238.4671197,100.8319763,238.3133093,101.0796683,238.304128,100.9216879,238.3081395,100.9781476,238.1901516,101.0157773,238.2507335,101.0148615,238.0843607,100.8705162,238.3008256,101.0121731,238.0480295,101.157855,238.4335234,100.8301797
1947,238.1292632,100.6830362,237.8571206,100.8915865,238.0131264,100.6993348,237.9630089,100.8744618,237.9104437,100.9917056,238.2501279,100.5069102,237.8299886,100.8284151,237.9396777,100.9279669,238.1968957,100.7389194,237.9438988,100.846393
1948,237.9464364,101.0847063,237.6491354,101.2259044,237.8649713,100.909478,238.0627732,101.0786054,238.1156322,101.1543661,237.8268417,101.010846,237.8295262,101.1913494,237.8406278,101.0770747,237.959182,101.1608052,237.7452571,101.3323167
1949,238.2673588,101.2772427,238.2954702,101.1805511,238.1481932,101.1300678,238.4643656,100.9469873,238.2669103,101.1336839,238.2223833,101.1516903,238.2620468,101.2323653,238.3370601,100.9248092,238.1002815,101.3018001,238.2297383,101.205852
1950,238.1814812,100.8894088,238.354163,100.7812931,238.3416766,100.8230521,238.3688959,100.8561795,238.3230761,100.948339,238.2989973,100.6740826,238.1895137,101.069209,238.1019085,100.9265581,238.4585881,100.8320787,238.1089945,100.9723991
1951,238.0600526,101.0555676,237.9401619,101.2753902,238.0058597,101.1290456,238.1507231,100.9990655,238.248034,101.1651296,238.0525072,101.1658137,237.9777798,101.2656273,238.1488062,101.0638572,238.1243156,101.0025315,238.2191518,100.9982783
1952,238.3352253,101.2249591,237.9065233,101.2747781,238.1077287,101.1896857,238.1975589,101.2118116,238.0216871,101.2859157,237.8327024,101.1867551,238.2445469,101.1064862,237.9948487,101.2985319,238.254335,101.3392653,238.3030481,101.1706484
1953,237.8929165,101.0378256,237.7824249,100.9141823,237.7425461,100.9994706,238.0180515,101.0812311,238.0734875,101.013822,238.1119289,100.8726584,238.070074,101.0319291,237.8844421,101.2522795,238.0512502,100.9497758,238.0391402,100.9101787
1954,238.0586371,100.9885945,237.7891277,101.0846162,238.1634114,100.8612503,238.0864875,100.8437905,237.873406,101.038561,237.730571,101.1091941,237.883405,100.8208748,238.0550359,100.9845699,237.9893897,101.0283025,238.0567896,101.0014293
1955,237.8388959,101.1655388,238.0342121,100.9555978,237.8985514,101.1473466,238.0771341,101.0583397,237.9934948,101.2088561,238.1772039,101.0759704,238.0446736,100.9311545,237.9981076,101.1098008,238.0183145,101.2393103,237.9479449,101.1108768
1956,237.7820365,101.33243,237.5246363,101.3312788,237.6309942,101.2707827,237.8498478,101.0067565,237.8091567,101.1946625,238.0771319,101.1666333,237.8740422,101.0104413,237.3886899,101.3637236,237.9199223,100.9942207,237.702259,101.2307376
1957,237.8610884,101.023727,237.8697477,101.1932373,237.788347,101.0684806,237.7703306,101.178134,237.7499145,101.2900862,237.5648594,101.1185754,237.9309495,101.0568215,237.9030103,101.1169417,238.2080816,100.9337825,237.9376215,100.9628022
1958,238.5391271,101.1462633,238.1975063,101.4625108,238.1264928,101.4178512,238.4043593,101.4644634,238.350611,101.3100301,238.2134949,101.4476049,238.4194927,101.3544967,238.3857625,101.3365056,238.4130044,101.2913442,238.3910198,101.2641163
1959,237.9267686,101.1869095,237.869652,101.2896731,237.9482049,101.0284179,237.9922832,101.1490096,238.0643884,101.0878488,238.0570437,101.0753755,237.9556839,101.1544422,238.0159763,101.0310924,238.0096108,100.9578058,238.0013372,101.3324589
1960,237.8954997,101.0597141,238.0030901,100.7684989,237.7701341,100.8608456,237.8638831,101.1694187,237.86503,101.1244946,237.848833,101.0583875,237.8949266,100.8730451,237.792583,100.9741584,237.8744679,101.0859816,237.9698416,100.9699429
1961,238.1502672,101.2421736,237.8788724,101.4886973,238.0392685,101.3913736,238.0173183,101.4617043,238.1356894,101.2810833,238.0591026,101.406025,238.0685361,101.3115174,238.0875045,101.4366693,238.0600882,101.4547632,238.196936,101.3443595
1962,237.9882782,101.1842817,237.7867857,101.413153,237.7306899,101.3080775,238.0561845,101.1097022,237.8482778,101.601893,238.1686459,101.3737366,238.0411934,101.1635884,238.0794069,101.3469582,238.1897836,101.3254021,237.9808892,101.2903432
1963,237.6065304,101.7982297,237.5737589,101.7899578,237.3185516,101.8805084,237.5952933,101.9907747,237.3159353,102.1373357,237.4892171,101.91796,237.5456827,102.0559956,237.6148056,101.881622,237.666923,101.7410144,237.7709398,101.7780558
1964,237.9357369,101.7604598,238.0980988,101.6241123,237.9855429,101.6107324,237.8531595,101.7534116,237.9866124,101.7986896,237.9532336,101.7167803,237.9080528,101.7072838,238.2065323,101.5888892,238.1885244,101.7206407,237.9995016,101.7074301
1965,237.9714516,101.4164748,237.9480472,101.6212418,237.972518,101.5827317,237.8792466,101.5825245,237.9357617,101.560831,237.7830355,101.4841212,238.2530902,101.3914057,237.9669914,101.37481,237.719733,101.6314949,237.8558588,101.4612488
1966,237.8776142,101.5602902,237.8722931,101.4683919,237.6936929,101.5749437,237.5380551,101.525262,237.6491747,101.5736006,237.9278622,101.4717195,237.658857,101.4981096,237.8648791,101.34345,237.8051986,101.3024087,237.62243,101.600848
1967,237.5194356,101.3248983,237.3192151,101.3269556,237.64548,101.0901471,237.5592722,101.1350277,237.4423565,101.3675652,237.5526397,101.0796536,237.725154,100.9722488,237.7981276,101.2110057,237.5115283,101.1959202,237.6366148,101.1141063
1968,237.7593594,101.1533867,237.7418312,101.3282713,237.5672262,101.1662985,237.8864449,101.1578547,237.7866234,101.188633,237.6057145,101.1891975,237.5543121,101.2101912,237.7060273,101.3499622,237.6593317,101.0764678,237.7292701,101.3546636
1969,237.9000199,101.4805424,238.0037904,101.5214737,237.9883314,101.4502392,237.8842111,101.5580132,237.9478522,101.3721439,237.9355516,101.1848922,237.9573704,101.4584595,238.1070634,101.2416934,237.6940008,101.5412865,237.9698606,101.3907392
1970,237.8293917,100.9497424,237.739826,100.9616735,237.8336409,101.0866988,237.5990742,101.3177408,237.746805,101.19542,237.7375444,100.9377726,237.8841907,100.9663559,237.750082,101.0866496,237.6777596,100.9721113,237.7549732,101.0305428
1971,238.0087612,101.3768877,237.7641439,101.3820525,237.8459992,101.504857,237.755709,101.4799769,238.0556553,101.3218502,238.1510175,101.1846844,237.9210492,101.3610061,237.6261628,101.5209726,237.8240858,101.4732873,238.0365355,101.3179072
1972,237.8940119,101.3253029,237.6994259,101.3256718,237.6646124,101.5205837,237.7688136,101.3033889,237.4478485,101.5081976,237.6110403,101.4156006,237.8807599,101.2703537,237.8178408,101.3135121,237.6773304,101.5234817,237.5964328,101.3903408
