experiment,IRR_01,IRR_01,IRR_03,IRR_03,NOI_01,NOI_01,NOI_03,NOI_03
2001,237.4239777,235.9586084,237.1505105,235.8943817,237.3532606,236.2234107,237.128934,235.9745443
2002,237.366978,235.9662444,237.0544661,235.9097743,237.1536891,235.9190858,237.2418759,236.1864321
2003,237.0047202,235.8005675,237.1348745,236.0901878,236.6680902,235.8856448,236.8395392,236.2330612
2004,236.6955901,235.7397251,237.1075543,235.7676622,237.3423144,235.7280233,237.3248007,235.9268594
2005,237.1647693,235.6751801,236.5168993,235.4902249,236.9859551,235.4103735,236.6198835,235.4891693
2006,236.787481,235.7815538,237.0151183,235.5919112,237.2123697,235.6560719,237.3810872,235.3415095
2007,236.406488,235.6544567,236.3100062,235.7097535,236.2871572,235.8673637,236.1306888,235.3677666
2008,237.245421,235.4137468,237.0751865,235.2704842,237.1016515,234.9631919,237.1823941,234.8809659
2009,237.32822,235.3753776,237.2636622,235.3673443,237.1172697,234.9500049,237.5444136,235.4872043
2010,236.27908,235.7555015,236.3525831,235.6263231,235.8974195,235.766976,236.1192763,235.710565
2011,237.105795,235.0740483,236.9633217,235.158407,236.9951442,235.1977845,237.0322314,234.7370235
2012,237.3445481,235.3267035,236.8256288,235.466488,237.0490499,235.343617,236.9637847,235.3871489
2013,237.388928,235.7697321,237.3017793,235.9148705,237.280118,235.7149082,237.2004992,235.6431508
2014,237.577328,235.8551914,236.9711914,236.1083578,237.4993698,235.8344289,237.1360181,235.6729118
