experiment,IRR_01,IRR_01,IRR_03,IRR_03,NOI_01,NOI_01,NOI_03,NOI_03
variable,rsnt,rlnt,rsnt,rlnt,rsnt,rlnt,rsnt,rlnt
1902,237.0386581,236.0324723,237.0031191,236.2904049,236.6188543,236.1852759,237.0233512,236.0326439
1903,235.7095191,235.8641336,235.8992621,236.2194462,235.8931147,235.573278,235.9378231,236.1016387
1904,237.2191803,235.3146329,237.2955944,235.7499385,237.3914396,235.5576213,237.0636415,235.47026
1905,237.950836,236.1047829,237.8195338,236.3160311,237.539529,236.1063759,237.8391096,236.2101425
1906,237.4220611,236.2593831,237.3192768,236.3540133,237.5678531,236.64892,237.0932896,236.5227808
1907,237.3977444,235.9061732,236.9283223,235.7113534,236.8446233,235.9378113,236.7419775,235.768656
1908,237.7788035,235.5729665,237.3472942,235.6491673,236.8875778,235.4667147,237.3174651,236.0147036
1909,237.2793515,235.6594451,237.3004547,235.7700407,237.3029225,235.7243755,237.121563,236.3734938
1910,237.0688293,235.4515777,237.0296734,235.6742532,237.5603778,235.8743281,237.5084182,235.9393201
1911,237.5584758,235.2771826,237.6768429,235.5157011,237.4758017,235.5616748,237.3744298,235.4477756
1912,235.9092752,235.0866541,235.8129123,235.6000606,236.1888084,235.4384899,236.459264,235.4665508
1913,236.7926088,235.4826846,237.0766616,235.4584363,237.0390606,235.3005921,236.8767763,235.5086624
1914,237.3788169,235.865186,236.8681234,236.1017947,237.4029964,236.1162782,237.7014757,235.8140595
1915,237.1534194,236.314536,237.3614512,236.7247106,237.0859215,236.4527423,237.2501818,236.1832266
1916,237.2038832,235.899583,237.6199407,235.817486,236.9108656,235.8424916,236.9936707,235.8531013
1917,238.2130312,235.3306404,238.2328013,235.5505933,237.8505774,235.5399521,237.6591993,235.2325787
1918,238.0582243,235.1979959,238.128236,235.6251396,237.5528263,235.5535158,237.561634,235.4022646
1919,237.8019518,235.9521485,237.9958604,236.0594436,237.2537442,236.3047109,237.3585396,236.0973022
1920,237.0851949,236.0223897,237.4048633,235.8346466,237.419164,236.1637999,237.3889057,236.0646072
1921,236.9354517,236.0848677,236.9995221,235.4899887,237.4009135,235.575733,237.3219237,235.6193925
1922,237.1141551,235.7734382,237.158473,235.4291569,237.062504,235.3427432,236.8571668,235.5910984
1923,237.7660568,235.6221643,237.3606655,235.3823296,237.7896446,235.4945157,237.1899447,235.3000725
1924,236.5815493,235.7438723,236.8495007,235.7142654,237.345915,235.8524607,236.7247299,235.6609427
1925,237.8412196,235.610238,237.4583771,235.6449183,237.7694961,235.6533381,238.0198852,235.5225947
1926,237.5221349,236.8109762,237.3014529,236.4312369,237.3890671,236.3600857,237.2505312,236.006876
1927,237.2923515,235.7792359,237.3770492,236.1269871,237.3691793,235.9965766,236.9176612,235.7003945
1928,237.1023006,235.7763874,236.7066506,235.9413436,237.1759472,235.9708793,237.0119692,236.2562193
1929,237.0135079,235.8699818,237.1772802,236.2005443,236.9372874,236.081268,236.8695835,235.7940549
1930,237.992892,236.1197195,237.5506125,235.8922379,237.2887201,236.1152086,237.422123,236.5280016
1931,237.3957924,236.2660839,237.3075564,235.98208,237.0149639,236.5405451,237.1047079,236.3506284
1932,237.2465978,236.1704462,237.2935484,235.9325018,237.6583436,235.7452501,237.4882555,235.9555004
1933,237.6452397,236.0489423,237.3353487,236.2024608,237.4997685,236.2571278,237.5485711,236.0316955
1934,237.9251116,235.6971013,237.497517,235.218347,237.8638726,235.6736126,237.9585988,235.5165494
1935,237.5397936,235.7765247,237.5616613,235.9510064,237.4265718,235.7828118,237.4121955,235.5875548
1936,237.5862574,236.3894472,237.2742332,235.8968933,237.7154045,236.4161013,236.9524618,236.5646372
1937,237.4474254,236.1497402,237.6413412,236.5297113,237.4952687,236.008922,237.2251709,236.4453714
1938,237.6294632,236.1850614,237.7126174,236.1054189,237.2466683,235.9476415,237.7460485,236.3692507
1939,238.0483548,236.0422033,238.0814654,235.9490831,237.7582171,236.1177082,237.6183251,235.9737824
1940,237.3806499,236.4948101,237.2986853,236.3246914,237.4987277,235.9793724,237.6018646,236.2934619
1941,237.2411002,236.2309492,237.3723764,236.5062873,237.9023786,236.6980133,237.113707,236.7777716
1942,237.4552662,236.1392646,237.3025369,236.2349117,237.1228795,236.1909588,237.2295065,236.4559218
1943,237.6736407,235.9375188,237.6453537,235.9285621,237.5060698,236.0460078,238.2494414,236.1898899
1944,237.865606,236.2230102,237.9396538,236.9245326,237.4412625,236.28422,237.5750484,236.8302135
1945,237.5364733,236.7203586,237.7005578,236.3484483,237.6803061,236.7125279,237.3622688,236.6966094
1946,237.6184758,235.7581114,237.6789027,236.0094613,237.5731268,236.2898258,237.7480799,236.5261707
1947,237.631058,235.7617237,237.8474101,235.7372595,237.7372438,235.9464063,237.8483147,236.0693687
1948,238.1768265,236.4302014,237.8579842,236.0725686,238.0293195,236.4440528,237.8580328,236.268819
1949,238.0031077,235.8962588,238.2375734,235.8663026,237.9745356,235.9212459,238.2188607,236.0485284
1950,237.7450687,236.1385591,237.9277298,236.2007691,237.0779411,235.8280786,237.7658053,236.2788725
1951,237.8075593,235.7543633,237.6510153,235.86674,238.098685,236.0541603,238.234714,236.2215854
1952,237.688055,235.9439522,237.9526222,236.2591966,238.1807018,236.2875973,237.561074,235.846526
1953,237.6768866,236.5478421,238.0535671,236.1467137,238.1153024,235.9046414,238.1205238,236.0163827
1954,237.7672568,235.9658926,237.5606129,236.1952081,237.4093856,235.615538,237.5275749,236.1004481
1955,237.3901483,235.59959,237.7404743,235.7698927,237.2387143,235.8740404,237.3816983,235.9352496
1956,237.7966022,235.8234888,237.422744,235.7741017,237.9501605,235.872027,237.8039017,235.7222252
1957,237.8672609,236.4460196,238.3856519,236.2723724,237.5678025,236.5696018,237.7568999,236.3720806
1958,237.7270548,236.6613338,237.9106271,236.5163792,237.5774369,236.3263701,237.7149434,236.602821
1959,237.8398745,236.2671262,237.2547659,236.6180521,237.5728671,236.2036561,237.4418711,235.9277254
1960,237.7598064,235.9921316,237.8459452,235.734407,237.6645955,236.0859132,237.5994514,235.7411268
1961,237.3405381,235.961596,237.3686647,235.8855068,237.6131882,236.0396462,237.666921,236.1675511
1962,237.1281722,235.9363098,237.3744661,236.0457089,236.5884788,236.0571812,236.931293,236.4021001
1963,235.2533655,235.1663919,235.6525994,235.2788913,235.6967073,235.6188791,235.486083,235.3473859
1964,235.4320612,235.5660974,235.9849586,235.4889712,235.913903,235.6913649,235.8801405,235.7216557
1965,236.8361274,235.0717033,237.1153275,235.0977374,236.8921746,235.2810936,237.086248,235.1324152
1966,236.6114005,236.0595954,236.5618501,236.2413875,236.8135554,235.9232456,236.4499709,236.0046476
1967,236.8012262,235.6143069,237.0181669,235.5256308,236.8956425,235.9385407,236.5357314,235.533477
1968,237.4372538,235.6546715,237.3164403,235.5085359,237.428924,235.6744736,237.2721501,235.5361915
1969,236.568011,236.6910278,237.0383089,236.2179804,236.8601474,236.3302484,236.9935581,236.3644836
1970,236.7883822,236.0733884,236.7078814,235.9862656,236.4732269,235.779909,236.507661,236.0030665
1971,236.8638318,234.6007348,236.4292554,234.9565539,236.2359428,234.8650558,236.9329316,234.7044353
1972,237.7102348,235.4983997,237.5904182,235.3011495,237.5803942,235.490448,237.9866562,235.5706529
1973,236.3709426,236.0122135,235.9906956,235.8639963,236.3797458,235.9679681,236.2961476,235.9927557
1974,236.8367127,235.0392622,236.9639035,235.2721427,236.4269373,235.3014284,236.773011,235.2423918
1975,237.2612492,235.3654337,236.6561514,234.9765486,237.2664296,234.8947193,236.8257455,235.1575231
1976,236.9846718,234.6706311,237.6356224,234.947982,237.7905884,235.193199,237.2206126,235.0663215
1977,237.6410971,235.4080761,237.5643576,235.7835434,237.2662383,235.6612642,237.4557074,235.6838025
1978,237.5352521,235.8465319,237.379844,235.5424876,237.3036241,235.4870338,237.1845238,235.4524809
1979,237.5171087,235.3137836,238.1603765,235.7143554,237.6908801,235.6376807,238.0820238,235.6479298
1980,237.1851209,235.8878517,236.9364856,235.6914396,237.4723394,235.8878835,236.9603492,235.6675135
1981,237.1147349,235.4632162,237.0774303,235.34796,237.0481127,235.6972379,237.1408267,235.2929896
1982,235.6169161,235.4210998,236.4881909,235.693429,236.5240081,235.623304,236.4033353,235.1608687
1983,235.9777393,235.4713673,235.806235,235.4668754,236.2415136,235.5092542,236.0668194,235.3189592
1984,236.3446831,235.40771,236.4077086,235.0919301,236.6540704,235.0993967,236.57245,235.3868697
1985,236.6643944,235.213603,236.1509358,235.6384292,236.8043463,235.641066,236.8921892,235.5516409
1986,236.6859118,235.4645352,237.0575461,235.4937775,236.6075331,235.3840886,236.677366,235.4899307
1987,236.8651262,235.7882472,236.670312,235.8146327,236.717851,235.8415776,236.5401822,235.9307197
1988,236.4539808,235.8658679,236.4777196,235.8784418,236.3706271,236.0000846,235.9973298,235.7689105
1989,237.1755475,235.3441965,236.8751137,235.2244075,236.9697294,235.6638748,237.2013319,234.9766075
1990,237.3548018,235.6612222,237.2623214,235.7716885,237.5504631,235.7484328,237.2737954,235.7718311
1991,236.1165894,235.6344053,236.3050596,235.2614639,235.909917,235.7622876,236.014968,235.4579858
1992,234.4818415,234.398732,234.4897824,234.6712878,234.2831046,234.289953,234.3486614,234.6343429
1993,235.9257789,234.6301054,235.6247083,234.469219,236.028053,234.565587,235.9868152,234.6847021
1994,236.6499875,235.4422211,236.3096907,235.2067938,236.4380994,235.617805,236.2354484,235.2580888
1995,236.52647,235.1136588,236.4867824,235.3900497,236.4273439,235.3431116,236.3567057,235.3810404
1996,237.1679902,235.5074952,236.3297017,235.4778109,236.7237523,235.6326605,236.3575346,235.2141215
1997,237.9285877,235.5848705,237.3426809,235.0026314,237.6789842,235.3509611,237.5784092,235.5376379
1998,236.2288799,236.3254289,236.156642,236.4106544,236.3933791,236.4453101,236.4259739,236.1876723
1999,236.6812741,235.094959,236.4233022,235.8149363,236.5716204,235.208854,236.9847509,235.0844121
2000,237.0352195,235.3037349,236.9071979,235.2933217,237.2790195,235.7280546,237.5612115,235.3925832
