experiment,IRR_01,IRR_01,IRR_02,IRR_02,IRR_03,IRR_03,NOI_01,NOI_01,NOI_02,NOI_02,NOI_03,NOI_03
variable,rsnt,rlnt,rsnt,rlnt,rsnt,rlnt,rsnt,rlnt,rsnt,rlnt,rsnt,rlnt
1901,240.1026441,237.3898405,239.9219646,237.0392874,239.9662853,237.0090943,240.4776392,239.514761,239.9219646,237.0392874,240.20176,237.2101964
1902,239.5546228,237.4433519,239.606518,236.8595261,239.2041996,236.6242636,240.1133507,239.2455129,239.406037,237.066834,239.4473446,237.1254957
1903,238.4902129,237.0505539,238.6345737,236.5750633,238.6663511,236.6191972,239.3205388,239.4272277,238.2746238,236.3918447,238.4610669,236.3280867
1904,239.2977143,236.5478843,239.6044742,236.4705999,239.8299954,236.433387,239.8329584,239.1873297,239.542753,236.7372573,239.6494687,236.6858936
1905,240.1347788,236.6810021,239.9792466,236.6476389,239.9594564,237.0313491,239.9781061,239.2384662,240.4245582,236.7569571,240.0666335,236.7178284
1906,239.7274985,236.8130541,239.7212813,237.0871299,239.7764571,237.0540537,240.3745968,239.4980375,239.7136197,236.9527843,239.4065568,236.9302996
1907,239.3795968,236.8376358,239.0962059,236.5151985,239.2109938,236.7711044,240.0694272,239.4635936,239.5122966,236.4633486,238.9286469,236.2311526
1908,239.6327948,236.7827957,239.8436136,236.7000357,239.6295096,236.6622511,240.0836749,239.2078224,239.5911826,236.6123428,239.6290672,236.3090013
1909,239.2329552,236.6603036,239.3404482,236.8265228,239.3346343,237.1018379,240.2858548,239.0911916,239.2513964,237.0185037,239.3878661,236.864207
1910,239.0708173,236.5974084,239.6505966,236.7129093,239.2195727,236.6221135,240.2216585,239.3679006,239.711653,236.6070681,239.7664278,236.4969663
1911,240.0958217,236.4804858,240.0477956,236.1978305,240.0942556,236.4072451,240.3036706,239.378309,239.9824055,236.284625,240.135822,236.4562855
1912,238.9497306,236.4171675,238.7396071,236.4574872,238.593538,236.2093189,239.3093948,239.284034,238.7025975,236.0035856,238.392948,236.3316798
1913,239.4693046,236.0859372,238.8859657,236.3162111,239.30554,236.3509412,239.4998752,236.3443562,239.4368829,236.2899474,239.4280928,236.2206953
1914,239.6315671,237.0910499,239.7482905,236.8995253,239.7181419,236.4790083,240.0852602,236.735158,239.8514165,236.6893965,240.4260179,236.700869
1915,239.5589913,237.2370591,239.6066312,237.3806228,239.6592977,236.9443133,239.4931061,237.2968845,239.7887664,237.4794684,239.8182118,237.2489813
1916,239.8257477,236.6402692,239.3870217,236.9081614,239.5227753,236.7473339,239.4782089,236.6484271,239.6293247,236.6509693,239.9689404,236.8851958
1917,240.3514603,236.403474,239.9131454,236.2299436,240.4022083,236.1798002,240.4733454,236.5939579,240.2391827,236.4341943,240.3828807,236.4542567
1918,240.2202278,236.384594,239.7108009,236.2027065,240.410246,236.5004675,240.3625065,236.4606662,240.0267464,236.2500223,240.3447212,236.2994775
1919,239.7174511,236.6139224,240.1179296,236.6658663,239.8134336,236.6261086,239.8347631,236.6952532,239.9873201,236.7392155,239.8476768,236.9462211
1920,240.2815637,236.6193668,239.5926332,236.3285743,239.9734668,236.5412138,239.8574119,236.6401995,239.642745,236.8001879,240.2099747,236.6987931
1921,240.1807536,236.7909144,240.1361735,236.9679454,239.6660854,236.5962486,239.7430169,236.773448,239.4358228,236.2992881,239.9138393,236.8057775
1922,239.7262954,236.6582192,239.6660099,236.6745488,239.6762937,236.8255853,239.7396122,236.5344202,239.2757239,236.3465168,239.7416052,236.5945525
1923,240.0438666,236.2022637,240.2501132,236.1083543,239.9665727,236.5369324,240.0103991,236.1924834,239.6472895,236.393933,240.1455072,236.5175298
1924,238.8531161,236.7714355,238.8426441,236.708259,238.9606336,236.6925442,239.1540222,236.7505258,238.8044913,236.9368041,238.9259434,236.479448
1925,240.0674616,236.3678184,240.2016873,236.4702443,240.104576,236.4562005,239.928148,236.5151014,240.1101007,236.2938342,239.9118222,236.1921128
1926,239.7608737,236.9555029,240.0285026,237.042628,239.6578037,236.7962723,239.6514055,237.2373655,239.8441173,237.0856011,239.5120059,236.8318371
1927,239.8995885,236.9727344,239.7300955,236.683514,239.8862523,236.8030473,239.4584579,236.967189,239.4457757,236.8891287,239.8196296,236.7965022
1928,240.1330553,236.9822741,239.5746227,236.9253761,239.7521818,236.6088033,239.591036,237.1221353,239.1709701,236.7416265,239.7980508,236.9224632
1929,239.591414,236.3798076,239.2882134,236.7953992,239.6148232,236.6352618,239.6496905,236.967302,239.1796629,236.4916981,239.3212638,236.8126583
1930,240.1082641,236.883533,239.5591688,236.7687708,239.5807209,236.6221033,239.9118717,236.831067,239.6569211,236.7516142,239.79968,236.8238283
1931,239.5151651,237.2125698,239.6104599,236.9915417,239.7803421,237.2668207,239.8386163,237.1750733,239.4841055,236.9106641,239.947763,237.1921853
1932,239.9360952,236.6888793,240.2169623,236.7068487,240.2808384,236.8745437,239.8354623,236.8068565,239.8195379,236.6035405,239.7281357,236.6320679
1933,239.4970226,236.6538262,239.6716572,236.7368941,239.6172977,236.9085663,239.8649413,236.8810135,240.162706,236.6768121,239.783083,237.0144106
1934,240.0876586,236.7423337,239.9038515,236.4967805,239.9469949,236.5226315,240.3780639,236.875603,240.0523178,236.7146444,239.5803224,236.5087262
1935,239.8136055,236.757423,239.7949575,236.5365161,239.8486524,236.6737628,240.2021335,236.5341205,240.0985481,236.7687268,239.6749817,236.4935064
1936,239.5895203,237.0329473,239.6181895,237.1133787,239.5409045,236.8867349,239.998804,237.3219022,239.9350663,236.8870561,239.6585174,236.9630135
1937,240.1171979,237.2457377,239.5623998,237.4105095,239.8740758,237.0376849,239.9618497,237.2927792,239.907772,237.344683,239.6418529,237.1537239
1938,240.0595108,237.0215187,239.9326278,237.1457432,240.2114439,237.0659843,240.4614151,237.2788192,240.1253914,237.1103198,239.9526157,237.0802373
1939,240.6169575,237.0714644,240.3079067,236.7651347,240.1665924,236.7930935,240.8965728,236.8577174,239.9854377,236.7193802,240.2391284,237.0654218
1940,239.6133583,236.7828008,239.9501233,236.8878747,240.1160249,236.9638709,239.8255671,236.7860227,239.9361444,236.8428882,239.8119815,236.9419269
1941,240.0573696,237.4195131,240.4991826,237.27107,239.8130499,237.0462709,239.8379273,236.9916731,239.5773262,237.3544783,239.8255636,237.590745
1942,239.5833881,237.0882802,239.7566314,236.8947015,239.7743251,237.2026359,239.5509696,237.182711,239.8052825,237.1150561,240.0445047,237.0476042
1943,240.0367192,237.0807793,239.8865117,236.9264516,239.7328573,236.8926967,240.5309512,237.2835828,240.5529368,237.1800238,239.9635151,237.0064722
1944,239.9435774,237.4343148,240.1775239,237.5242421,239.5033975,237.5005871,239.9616402,237.2870449,239.6562699,237.6942827,240.0174463,237.4635224
1945,240.1606637,237.5932104,240.001215,237.6147672,240.1163147,237.5940527,239.7953401,237.2815079,240.1873506,237.7824687,240.1077406,237.5087115
