experiment,IRR_01,IRR_01,IRR_02,IRR_02,IRR_03,IRR_03,NOI_01,NOI_01,NOI_02,NOI_02,NOI_03,NOI_03
1946,239.9049951,236.8627947,239.8788512,236.7802042,240.0236568,236.7272813,239.9763593,237.115806,240.1501609,236.9555613,239.8771266,237.1794461
1947,239.7244608,236.7000214,239.809377,236.6338434,239.7186627,236.7205867,239.8354401,236.4749364,239.9463987,236.7827301,239.7927914,236.7938648
1948,240.0098236,236.5534758,240.4356415,236.9206413,240.0592402,237.2463792,239.5614125,236.6065453,240.2850015,237.0611176,240.4719793,236.8764078
1949,241.0774613,236.8048988,240.028165,236.9270576,240.5631349,236.8210975,240.4959244,236.9091897,240.6591448,236.9820462,240.6160588,236.8004681
1950,239.5918034,236.748426,239.7674455,236.896335,239.7807598,237.1056224,239.9135667,236.8936924,240.1634681,236.958064,239.8971538,237.1237475
1951,240.4392485,236.4882502,240.387517,236.9426185,240.311416,237.083113,240.4396157,236.710377,240.2699121,236.7837575,240.3931842,236.8793927
1952,239.9903074,236.9367923,240.1016249,237.1059499,240.0251084,237.1249942,240.458185,237.0075687,239.9601622,236.7902815,240.3453059,236.963586
1953,240.1997315,236.8019035,240.2700971,236.9442784,240.4003239,237.0586556,240.2731408,237.1002882,240.2177226,237.0364102,239.9333382,236.7807047
1954,239.6175886,237.1040696,239.9985926,236.8848315,239.9812562,237.0219439,239.6699326,236.9471096,239.8075035,236.862595,239.2147935,236.7827684
1955,239.4188758,236.7353431,239.8749382,236.723174,239.6344147,236.8558306,239.0645814,236.978676,239.6634099,236.6396027,239.9023092,236.921273
1956,238.7786628,236.5419923,239.228551,236.5287713,239.6672148,236.5515546,239.411782,236.4107736,238.7170462,236.6119257,238.6705392,236.4736619
1957,239.8851386,237.0270147,240.2400223,236.8475757,239.8371863,236.7618872,239.8171827,237.0005269,239.7862004,236.8471494,239.8629356,236.6845717
1958,240.2918349,237.0698304,239.7309219,237.2408472,239.807484,237.0776107,239.6403203,237.4548907,239.849175,237.161898,239.8176013,236.8585386
1959,240.3432567,237.1448897,240.4017837,237.0783391,239.9169637,236.8673975,240.1405509,237.1110731,240.14609,237.2408063,239.8927754,237.0830407
1960,239.8183534,236.7274223,239.8937419,236.7504299,240.17944,236.9166646,240.132132,236.8463564,240.1279479,236.9655138,240.0746957,236.8710514
1961,240.1222004,236.906089,239.861479,237.0197803,239.698472,236.7991879,239.9420758,237.3369312,239.7362575,236.8745585,239.9218332,236.8187409
1962,239.7299825,236.7564653,239.6318305,236.7033685,239.4594492,236.9646525,239.7414014,236.8161016,239.7470585,236.7245081,239.3393345,236.7817093
1963,238.5720883,236.2344852,238.1079039,236.660864,238.172205,236.388823,238.3722837,236.1029477,238.5899796,236.3430369,238.3017259,236.4168996
1964,237.790609,236.291895,237.8579774,236.2761053,238.0214629,236.5538559,237.7296381,236.47199,238.100212,236.5486791,238.0983443,236.4693242
1965,239.2633585,236.2434247,239.4177801,236.0627656,239.1193338,236.0843326,239.224808,235.9012184,239.3322343,235.844962,238.9965686,236.2250309
1966,239.5071753,236.9063512,238.9734302,236.8101455,239.0936049,236.7928963,238.9292442,236.7704471,239.2236003,236.6913498,239.1830925,236.715443
1967,239.3214035,236.6803939,239.5222986,236.4583653,239.3317626,236.711068,239.3550767,236.5734681,239.4708261,236.6115802,238.9438328,236.5136808
1968,239.7972871,236.3976756,239.2899886,236.0682043,239.8001765,236.6747319,239.7862032,236.170612,239.8246186,236.5406322,239.6896602,236.1766149
1969,239.4509949,237.0299128,239.6762708,237.2756854,239.067138,237.4084382,239.0293017,236.957384,238.9958134,237.0063824,239.4910275,237.1173017
1970,239.4947264,236.579622,239.0956023,236.9118107,239.0915974,236.4902013,238.8058566,236.5521185,238.9125144,236.1962663,239.0050239,236.741978
1971,239.1685073,235.9421388,239.1320287,235.8927721,239.193478,236.0527577,239.160228,236.1292184,239.2525042,236.0521324,239.2451823,236.4454653
1972,239.5981825,236.2015802,239.6981315,236.019997,239.8669532,236.2444844,240.2226128,236.353138,239.9608337,236.0238633,240.0347799,236.0151968
1973,238.6738723,236.9565927,239.0400888,236.885928,238.8571815,236.556785,238.4484414,236.8201665,238.6613723,236.7477267,239.0043697,236.7524584
1974,239.4693209,236.2421091,239.497704,236.0731429,239.0109538,235.9009322,239.3281818,236.1032892,239.3981809,236.0282386,239.4998092,236.1512909
1975,239.0294647,235.9898446,238.7565356,236.1264619,238.9146798,235.8978669,238.8545314,236.0213935,238.8225413,235.7023401,238.8716428,235.8862297
1976,239.7152528,235.9270565,239.5288087,236.0309828,239.1011506,235.9388656,239.7333429,235.8759579,239.573981,235.7443754,239.3510642,235.9744917
1977,239.4226871,236.6487294,239.5988938,236.3128569,239.2974505,235.9939092,239.7913777,236.4377712,239.3280287,236.3026273,239.5760676,236.3632696
1978,239.6889173,236.4964583,239.5757881,236.3183025,239.5334174,236.151048,239.5506388,236.7262707,239.4870293,236.4014953,239.7486565,236.4941781
1979,240.2005579,236.579343,240.1655942,236.5544349,240.1237984,236.6861003,239.9776705,236.4061137,240.1033754,236.5287165,239.7245233,236.5494814
1980,239.6509484,236.4974932,239.6271991,236.5856168,239.8291251,236.6764109,239.8854319,236.7620626,239.9045374,236.4331484,239.8051913,236.2831483
1981,239.3770457,236.4101987,239.1943327,236.5007165,239.697779,236.3797401,239.7599898,236.4886002,239.6018626,236.3702049,239.8530262,236.4593817
1982,238.186436,235.9605188,237.7532918,235.8579426,238.1807912,235.9524986,237.9142761,235.7734828,238.1438515,235.9536812,237.8165037,235.9463755
1983,238.0218496,236.4133158,238.5167981,236.520533,238.5060433,236.4099002,238.1873317,236.7621343,238.5373832,236.5203434,238.5264361,236.8443019
1984,239.4025972,235.9688136,238.8793642,236.4791977,238.7993086,236.0650587,238.8076704,235.8020914,239.2990517,236.0370677,238.9442271,235.8583976
1985,239.5441365,236.2170094,239.0374829,236.120511,239.1106374,236.2574604,239.3330857,235.9900438,239.062008,236.3713675,239.4448734,236.7402572
1986,239.5205926,236.3093327,239.2960402,235.9219731,239.2743517,235.9766007,239.1958678,236.2826724,239.1289927,236.2463148,239.2349492,236.0235061
1987,239.3700075,236.3902666,239.6963115,236.3846756,239.1651212,236.5283883,239.2414387,236.5712406,239.6005349,236.6586924,239.6365689,236.6286672
1988,238.5655415,236.7537151,238.8915955,236.8114281,238.3650964,236.357084,238.5020337,236.8413636,238.3968098,236.5982525,238.4759885,236.5096559
1989,239.4801117,236.3627789,239.3569486,236.2521036,239.8226828,236.3541228,239.6294787,236.430663,239.8045496,236.4878402,239.6387248,236.4477238
1990,239.8177449,236.6718499,239.8654456,236.4953928,240.1853099,236.4464849,239.5082747,236.6363762,239.5162575,236.5384651,239.9232723,236.5969892
1991,238.0500688,235.9525336,238.5599338,236.1066931,238.4640344,236.0467813,238.0272611,236.0802516,238.4271316,236.1445391,238.0455634,235.9983611
1992,237.8509969,235.6656275,237.9059108,235.8869575,238.0695082,235.5269483,237.8796194,235.7788799,238.249971,235.8235812,237.5324042,235.6144163
1993,239.4703277,235.7835666,239.5692569,235.4719541,239.447018,235.6329951,239.1003818,235.8838868,239.0091175,235.6054711,239.3487983,235.745647
1994,238.8229405,236.3026572,238.8519278,236.0440337,239.3977253,236.262823,238.847547,236.558182,238.9432573,236.3869353,238.7135043,236.2331402
1995,238.5230213,236.7710799,238.9271363,236.3230801,239.0248701,236.5372057,239.0134363,236.3644195,239.1313524,236.4293712,239.0058112,236.5774312
1996,239.158836,236.2878065,238.9498339,236.0330795,239.0830817,236.1454217,238.8788927,236.2955222,239.0206057,236.0437308,238.8871239,235.9478353
1997,240.398786,236.522953,240.0432697,236.4499317,240.0909205,236.2850333,240.0949904,236.4586421,240.201216,236.6664826,240.0655183,236.4022016
1998,239.4056335,237.3056531,238.9933112,237.3384771,239.230519,237.0811036,238.6427666,237.0973489,238.4454507,237.1034667,238.9380662,236.9837208
1999,239.463636,236.5880433,239.6911791,236.4579826,239.2632507,236.5740959,239.2200516,236.5127438,239.4833789,236.6105445,239.1137654,236.354789
2000,239.891311,236.4956704,239.7776778,236.193906,239.8619629,236.4233842,239.5845237,236.1331348,240.011637,236.6549898,239.6267843,236.4554066
2001,239.7183191,236.3550728,239.6873119,236.6281736,239.8502409,236.6188084,239.6052008,236.5513989,239.8403453,236.5522819,239.9688534,236.5727574
2002,239.2171665,236.8178896,239.2582085,236.4072766,239.627088,236.6941321,239.7472987,236.8929571,239.8311382,236.7379746,239.8132557,236.8492324
2003,239.1630535,236.9194531,239.4166176,236.816672,239.412876,236.7465495,239.5940911,237.0270863,239.5972924,236.8512849,239.5628785,237.121963
2004,239.9251615,236.4824379,239.3877623,236.5665482,240.0854998,236.439863,239.806229,236.5735122,239.7015406,236.6837539,239.9868416,236.6069137
2005,239.7011626,236.4958177,239.7401964,236.8055785,239.655507,236.8266001,239.7726794,236.889584,239.4597385,237.0303366,239.6927695,237.1108096
2006,239.7202446,236.6670796,239.4582564,236.3433588,239.7292005,236.4733005,239.6255374,236.4897574,239.6293685,236.6507917,239.6210552,236.747228
2007,238.906092,236.4306689,239.1432755,236.5029994,238.8543528,236.4308888,239.480013,236.2235986,238.8425609,236.460387,239.3697517,236.2756388
2008,239.9349884,236.483036,239.8081315,236.302896,239.8180641,236.302956,239.8294583,236.0915638,239.6935988,236.1214516,239.7037122,236.31016
2009,239.8555202,236.3603884,239.7448843,236.4496477,239.7852977,236.1872905,239.751042,236.1775845,239.9591747,236.1955271,239.8689333,236.1529045
2010,238.9734012,236.6724689,238.7395877,236.8172739,238.7361025,236.7533967,238.90094,236.9596196,239.1415453,236.8330859,238.8216016,236.6515572
2011,239.3551353,236.1664812,239.2745161,236.3396297,239.4189941,235.9314376,239.4247127,236.1387629,239.3113833,236.1833433,239.1040657,236.2707224
2012,239.8327634,236.4641529,239.9607804,236.5218303,239.985383,237.0312549,239.5292745,236.2668997,239.7366586,236.8644969,240.1396497,236.7414668
2013,239.7703546,236.723784,240.001859,236.5732441,239.7118754,236.5028544,239.7689589,236.7613294,239.5561859,236.352448,239.5460612,236.549492
2014,239.6564575,236.7660582,239.5815256,236.5376124,239.9402048,236.7508301,240.0753792,236.8794414,239.4289593,236.8150219,239.8345419,236.9999272
