experiment,IRR_01,IRR_01,IRR_02,IRR_02,IRR_03,IRR_03,NOI_01,NOI_01,NOI_02,NOI_02,NOI_03,NOI_03
variable,rsnt,rlnt,rsnt,rlnt,rsnt,rlnt,rsnt,rlnt,rsnt,rlnt,rsnt,rlnt
1901,239.924202,236.954465,240.0643627,237.0487937,239.8235821,236.9274247,239.924202,236.954465,240.0643627,237.0487937,239.8235821,236.9274247
1902,239.2345068,236.7187431,239.9037428,237.0997096,238.898905,237.0833917,239.7233289,236.7431494,239.7615954,236.9694441,239.7293569,237.0181689
1903,239.1018717,236.5960825,238.7769933,236.6735568,238.5437247,236.5694904,238.4313454,236.58897,238.0973518,236.6413401,238.9832812,236.37922
1904,239.5732273,236.5800327,239.6762109,236.9198101,239.3460285,236.4442678,239.8954946,236.5207145,239.558178,236.6113736,239.7073015,236.5689514
1905,240.3969798,236.8008428,239.9550722,236.7676742,239.7792845,236.9666678,240.0747923,236.7866351,240.4746361,237.3418136,239.9034363,237.1568254
1906,239.9069413,237.2769155,239.8133033,236.7298912,240.0331976,237.2271679,239.9949307,237.2341495,239.6958925,237.0913965,239.6952035,237.0986101
1907,239.584156,236.6998478,239.4405794,236.3988235,239.8647455,236.3756975,239.3042325,236.6744209,239.4555614,236.8087975,239.5017843,236.3967841
1908,239.9174337,236.6713973,239.65746,236.6322306,239.5749646,236.4835161,239.8213815,236.7525899,240.1502725,236.5901362,239.777515,236.517985
1909,239.6551129,236.9233708,239.6364669,236.9386028,239.7458219,236.7088854,239.6902526,237.0356015,239.6770693,236.8168457,239.5538487,237.0537215
1910,239.7075091,236.479352,239.8196259,236.64446,239.5310266,236.9152082,239.41128,236.8246404,239.846935,236.2201613,240.0142434,236.9986509
1911,240.4368602,236.5366349,240.3807071,236.6438622,239.9264207,236.3444727,239.8788096,236.4126816,239.6967315,236.5545567,240.0851952,236.3573237
1912,238.9468895,236.3441742,239.0063721,236.0085579,238.8837326,236.206685,239.0545899,236.4110104,239.1747526,236.2339094,239.0489193,236.5100338
1913,239.4389977,236.3564692,239.5143796,236.6747102,239.5993253,236.3581814,239.4677239,236.4060513,239.7755328,236.5500692,239.2306722,236.1516623
1914,239.8457935,236.6270859,239.9247605,236.9414485,240.1286142,236.712374,239.8595169,236.9351375,239.9650576,236.7518728,240.1333632,236.8156796
1915,240.0344157,237.0889404,240.1636218,237.21137,239.689575,237.2788992,240.0521442,237.2397458,240.0168722,237.3968782,239.7905047,237.2087599
1916,239.8812913,236.8022768,239.7073483,236.8973119,240.0677984,237.0499117,239.5949418,237.0178524,239.8608075,237.0035272,239.9180479,236.8975693
1917,240.0620351,236.2776644,240.5460436,236.4685709,240.6103448,236.3030631,240.3445196,236.2605685,239.9185764,236.5949235,240.369866,236.4155418
1918,240.2966818,236.6491126,240.2377394,236.1664549,240.3559057,236.1621607,240.2936526,236.3243072,240.3612646,236.4780468,239.9924504,236.3454016
1919,239.9459144,236.866362,239.9851342,236.6675787,240.1844341,236.4192599,240.4354999,237.0140358,239.9307169,236.830247,240.0780061,236.7920257
1920,240.025456,236.4729436,239.8086224,236.5002498,240.2088988,236.8473078,240.122494,236.68818,239.8604168,236.7490514,240.2568749,236.6469207
