experiment,IRR_01,IRR_01,IRR_02,IRR_02,IRR_03,IRR_03,NOI_01,NOI_01,NOI_02,NOI_02,NOI_03,NOI_03
1921,239.8184898,236.6889906,240.1222305,237.0306952,240.1207007,236.7903429,240.03307,236.57511,240.163081,236.7096693,240.0686241,236.6729705
1922,239.6609307,236.7558007,239.9605327,236.7906888,239.7809219,236.5602859,239.7579506,236.4998409,239.7777481,236.5392418,239.9584033,236.4502713
1923,240.3205466,236.794147,240.09749,236.5059359,239.9072823,236.4923757,240.3015908,236.4847738,240.1194132,236.604445,240.3265326,236.2213598
1924,239.4820898,236.7921412,239.3287218,236.6622277,238.9568522,236.7388965,238.7900833,236.7789637,238.8295963,236.7896179,238.4901481,236.7507354
1925,240.3114612,236.7013399,240.1863209,236.3463669,240.1711924,236.5608334,240.2043775,236.5092715,240.2228589,236.3421903,240.3605467,236.3614024
1926,240.142892,237.0744087,239.7859571,237.112656,239.8074156,237.1214024,240.023114,236.9616888,239.9607635,237.1513754,239.839557,237.058057
1927,239.7226472,237.0778362,239.9180126,236.7075507,239.9031314,236.7592267,239.8304981,236.7843163,239.702108,237.2369479,239.9093531,237.0298537
1928,239.9297678,236.7923937,239.6752447,237.2627625,239.9308918,236.9194956,239.6067267,236.9955366,239.6123458,236.7296374,240.1092046,236.8122581
1929,239.1231345,236.8874513,239.3657813,236.7375233,239.6460765,236.5952157,239.7066802,236.5654188,239.3980148,236.8505091,239.4647001,236.6087647
1930,239.6595087,237.2094857,240.5768759,237.2863274,240.1930985,236.7611103,239.877776,237.1147446,240.164165,237.3343,240.1223263,237.0097591
1931,239.6814697,237.1731757,239.5608041,237.2190021,239.6048572,236.8834969,240.0640826,237.285476,239.7562696,237.0334991,240.0815049,237.0225643
1932,240.1192526,236.8795504,240.0965086,236.8907555,239.8290579,236.9619351,240.0643059,236.8802141,240.1631061,236.6313003,239.901124,236.7484058
1933,240.2100779,236.8749964,240.021867,236.8119998,239.8126854,236.9170833,239.9301273,237.0938947,239.9278724,236.8444142,240.0481954,236.9940522
1934,240.1795741,236.4861865,239.6977638,236.5029913,239.8010144,236.4854973,240.2799685,236.8354691,240.2204558,236.4473582,240.5133971,236.6786969
1935,240.1280159,236.9786885,240.2914015,236.9823864,240.059641,236.5492603,240.0284948,236.6280531,240.0884054,236.8265341,240.1470489,236.9070026
1936,240.193398,237.1562618,240.1182965,237.3575048,239.9181277,237.1147105,239.7341513,237.0839956,240.0853946,237.0608286,239.8334915,237.269124
1937,240.0086968,237.3700162,240.275833,237.2924167,240.2962526,237.3571737,239.7697719,237.1829119,239.7722749,237.2574725,239.9862954,237.3470614
1938,240.3685353,237.3819533,239.9564249,237.4159584,239.9661081,237.3464231,240.2913253,237.2351387,240.2225073,237.4986856,239.793696,236.8864516
1939,240.2406886,236.9666738,240.4286168,237.0362048,240.5299509,236.800289,240.1412564,236.8418379,240.1491397,237.0889499,240.2350635,236.8254263
1940,239.9070196,236.8008981,239.9865342,236.7186923,239.8194606,236.6533126,240.1700435,236.8002143,240.199772,236.8865848,240.2608772,236.677868
1941,240.2106513,237.1345712,239.997958,237.1767383,240.4319557,237.1712361,240.0350849,237.114251,240.250996,237.0476084,240.0496897,237.2470886
1942,239.9463282,237.1137732,240.2866394,237.2469494,240.0275735,237.2703654,240.278814,237.2498094,240.1001299,237.3655264,240.1665489,237.3875096
1943,239.9600878,237.1519407,240.2429031,237.083536,240.2348041,237.3545923,240.1032648,237.0740264,240.3199695,237.2239156,240.2223864,237.0376825
1944,240.3207757,237.6530945,240.3861989,237.6899514,240.7255456,237.6512509,239.6063393,237.7975325,240.2620952,237.4722447,239.8411304,237.7616972
1945,240.1603074,237.431903,240.3643632,237.874016,239.981725,237.4332673,240.1861795,237.7432499,240.0560811,237.5198966,240.3955105,237.4231479
1946,240.3198725,237.0807113,240.2105669,237.0327293,240.331731,236.9218759,240.2034187,237.0062693,240.2882778,237.1311278,240.4377668,237.2862948
1947,239.6891089,236.8531764,240.0297031,236.5464191,240.2067437,236.6673083,240.0708248,236.8819137,239.9246193,236.6270519,239.875924,236.8449373
1948,240.1929549,236.791966,240.7709744,237.172358,240.2759408,236.8067199,240.4198798,236.8602112,240.643112,237.0274662,240.4413663,236.7932273
1949,240.7850449,236.8901957,240.6040323,236.9164833,240.0995616,237.1650358,240.4724867,237.2001454,240.7812674,236.7957744,240.8204083,236.8853206
1950,240.2562891,237.1954348,240.1533427,237.2607959,240.2022195,237.3212366,240.0680246,237.4403867,239.9099045,237.0805322,239.9491116,237.2893953
1951,240.3278064,236.8717352,240.8383226,237.0057067,240.5509724,236.9750334,240.162038,236.8484637,240.3734086,236.9064401,240.6154562,237.1550541
1952,240.2278427,236.8463661,240.1995186,237.192527,240.05639,237.2499751,239.9884501,237.1707671,240.0960921,237.1945457,240.305232,237.2205829
1953,240.5247641,237.0184839,240.1927003,237.1044461,240.2571465,237.0287709,240.3597407,237.2196962,240.6545477,237.1714329,240.3276237,236.9735093
1954,239.8100098,237.0484846,239.5260984,236.6723018,240.2609637,236.9885589,239.764643,236.9722503,239.9756877,236.8827476,239.9313892,236.8443779
1955,239.8355586,237.205002,239.8272882,237.027966,240.122668,236.9681832,239.9507018,236.9957624,240.1250002,237.0606055,240.0863686,236.8606316
1956,239.2701855,236.2860685,239.6425444,236.812118,239.1208657,236.6138071,239.3614027,236.4706379,238.9876793,236.4307067,239.2484756,236.4896084
1957,240.1161414,236.6830882,240.6165545,236.8288549,240.0739523,237.1092236,239.9358098,236.8052949,240.0895986,237.0736389,240.0768706,236.8763025
1958,240.4112284,237.4105943,240.5453435,237.3216372,239.946419,237.1231358,240.2443364,237.2445305,240.1953232,237.3622449,239.9286813,237.2017036
1959,240.4372473,237.1729697,239.9665892,237.514283,240.1390176,237.3198188,240.1570923,237.0055158,240.3238419,237.0328148,240.2200465,237.0802812
1960,239.9751172,236.9516093,239.971446,237.237175,240.533489,237.0691889,240.3033976,237.2679565,240.2142965,236.9717406,240.1784073,236.9510257
1961,240.0895498,237.1044495,240.3239062,236.8427016,240.0088129,237.0013353,240.3621754,236.954096,240.2728065,236.9251281,239.9598694,236.9968691
1962,239.5464489,236.8656601,239.9677365,237.0117127,240.0783766,236.8972376,239.6338522,236.9875997,239.7536149,236.9937493,239.6183602,237.0227388
1963,238.4379105,236.3756628,238.3440133,236.4166074,238.6546618,236.1729063,238.6401984,236.6162499,238.3658459,236.252597,238.0858092,236.3864572
1964,238.4486761,236.4710624,238.1963026,236.7247913,238.176035,236.6812923,237.8385162,236.5880292,238.1871675,236.7993411,238.4064424,236.5843785
1965,238.9493004,236.0029918,239.1878467,236.2870485,239.2908236,235.9794675,239.2290101,236.1599623,239.5204894,235.8185427,239.2761902,235.9818328
1966,239.2504096,237.016758,239.2252256,236.6141194,239.1206125,236.7671372,239.0716051,236.6369289,239.0850054,236.9482793,239.1226425,236.6000724
1967,239.4053932,236.5449099,239.6822621,236.829841,239.7053199,236.8054007,239.6613871,236.8203713,240.1435902,236.7139141,239.3977427,236.4180757
1968,239.7560779,236.4098084,239.6096418,236.5918667,239.6516564,236.9051599,240.1001142,236.7498669,239.5203334,236.736156,239.760527,236.5732117
1969,239.742167,237.2485273,239.4409037,237.0683275,239.8453565,237.1814398,239.2069343,237.037181,239.0689627,237.1682856,239.4449567,236.9888316
1970,239.3207778,236.6642815,239.2594528,236.6335225,239.509442,236.7789971,239.4319002,236.9103291,239.3809432,236.8989278,239.270389,236.7142603
1971,239.1441127,236.1164218,239.6630508,235.9959845,239.5140091,236.0142632,239.2924338,235.7231552,239.360525,235.8264333,239.904048,236.0606972
1972,239.9470553,236.4455245,240.139813,236.2613696,240.0015609,236.4042814,240.1979501,236.3755827,240.6050038,236.2861611,240.1837143,236.3497536
1973,238.8227431,236.7895813,238.7899647,236.7761782,238.7332426,236.7573016,238.8059923,236.9209534,238.6161366,236.7924131,239.0313122,236.9724439
1974,239.6204346,235.9998102,239.6464622,236.0220246,239.7578762,236.0425656,239.3728931,236.1575337,239.6205377,236.1441757,239.2837647,236.1030307
1975,238.7856502,235.9195536,239.0247087,236.296267,239.3411978,236.1545268,238.9506476,235.982684,239.0709735,235.9573467,238.9616516,236.2536543
1976,239.6402816,235.9545232,239.786737,236.0547877,239.5244246,236.055902,240.1262816,235.9835039,239.5807757,235.8173119,239.8503731,235.9057416
1977,240.0944658,236.3519923,240.0239642,236.6090999,240.2376007,236.391781,239.6946712,236.4651884,239.8262637,236.6368137,239.5510139,236.1774705
1978,239.7410099,236.4051487,239.9255781,236.7621639,239.9009358,236.6033373,239.8727477,236.4919871,239.7282411,236.374152,239.8504047,236.3775187
1979,240.0374153,236.3552033,240.8703988,236.5552792,240.0805856,236.4421992,240.247651,236.4707641,240.3893273,236.4689115,240.4110891,236.642448
1980,239.9942269,236.3972481,239.9783203,236.3769833,239.8025711,236.3536354,239.8931639,236.753811,239.9084905,236.3323857,239.8618218,236.4754236
1981,239.4160949,236.5139102,239.3792292,236.5340303,239.7058211,236.3762379,239.7690084,236.3413913,239.3602394,236.4654478,239.430649,236.5435873
1982,238.1076491,235.8824778,237.628619,236.0367235,238.2433706,236.0733542,237.9893637,235.9374481,238.1733575,236.1924581,238.1921719,236.2753182
1983,238.2971463,236.4878912,238.4398079,236.4644189,238.5895411,236.3203248,238.8703304,236.5737592,238.781066,236.7922929,238.4622052,236.8323674
1984,239.1762717,236.1905006,239.3063319,236.4289001,239.9040393,235.9921929,239.1882264,236.4605964,239.2628669,236.1556421,239.4867987,236.3931588
1985,239.3431655,236.4292237,239.6211531,235.993822,239.4906103,236.1270205,239.5068524,236.3642852,239.7065268,236.4513898,239.6340389,236.4454001
1986,239.2983904,236.0753114,239.2355014,236.2508522,239.4689733,236.2435988,239.5367845,236.0293155,239.6061955,236.2766716,239.4948112,236.3166478
1987,239.6878843,236.8034528,239.9613373,236.5145744,239.7422789,236.6468928,239.6110072,236.7707821,239.6478693,236.8204874,239.4855255,236.6870159
1988,239.0948297,236.6448663,238.9462619,236.7020364,238.9141455,236.8351821,239.2359031,236.8592179,239.4645529,236.8245452,238.8389835,236.9908338
1989,239.9348479,236.2654793,240.1312197,236.2825607,239.6599326,236.3266853,239.8266587,236.3740746,239.6149999,236.6406634,239.8289925,236.4074471
1990,240.015118,236.525149,239.6891658,236.5423927,239.5873957,236.7399309,239.9033934,236.7444584,239.8682777,236.9758435,239.8853147,236.4986461
1991,239.0907723,236.030709,238.7229509,236.3299166,238.4663691,236.0589894,238.4448219,236.05887,238.0244705,236.1543469,238.4742464,236.0943075
1992,238.0894429,235.7507068,238.0765918,235.7176865,238.1056532,235.5817402,238.2279197,235.9700708,237.9436088,235.5637349,238.1830293,235.9798077
1993,239.2685979,235.810165,239.1574086,235.6422671,239.7134597,235.6708371,239.3602367,235.6360608,239.5194825,236.0640752,239.3749655,236.0019098
1994,239.30386,236.4194143,239.0306392,236.5405422,238.9343569,236.4037904,239.4426851,236.3612288,239.0553787,236.6686913,239.0261001,236.6346855
1995,239.0443225,236.7721141,239.6786011,236.5411791,239.1326529,236.6294055,239.4837901,236.570116,239.1035009,236.6785723,238.9319716,236.6406362
1996,239.5486261,236.4384168,239.0517646,236.0928149,239.166931,236.478538,238.9823594,236.3217418,239.402183,236.2732845,239.2939093,236.511471
1997,240.3555045,236.8492637,240.1032423,236.4661363,240.7523772,236.4340089,240.4308378,236.7107678,240.3218055,236.3974486,240.0761905,236.6008265
1998,239.3144022,237.3191023,238.8828685,237.0933949,239.3933463,237.2763728,239.0304853,237.408427,239.0597694,237.267789,239.2463241,237.2811762
1999,239.104514,236.3940491,239.4833896,236.7873243,239.5016687,236.7357793,239.4212598,236.4230763,239.3347473,236.5788369,239.599022,236.5530797
2000,240.195321,236.895887,239.6152603,236.235682,239.7355221,236.5654554,239.7721938,236.2444731,239.7358913,236.6022419,240.2274656,236.3371687
2001,239.9200161,236.7789304,239.9075212,236.4759018,240.3408542,236.8882589,240.0915957,236.8966613,240.2725126,236.8063433,239.9481139,237.0563531
2002,239.5782709,236.7463902,239.6908127,237.0238814,239.9858221,237.0099748,239.6045651,236.8902805,239.7866162,236.9907388,239.5031498,236.6957304
2003,239.9447986,236.8307332,239.5266352,237.2418811,239.9910578,236.9881197,239.8257374,236.6356932,239.7950979,236.6687508,239.7340029,237.1402426
2004,239.7967296,236.5894191,239.8879307,236.5290807,239.9919955,236.4199241,239.7092804,236.47071,239.8315693,236.4991355,239.7965822,236.6921059
2005,239.3890733,236.5550801,239.9881705,236.5481786,239.9077273,236.7657412,239.4761378,236.6415269,239.9616554,236.5853522,239.4977985,236.6321042
2006,239.7073548,237.0587788,239.7118977,236.6970027,239.602379,236.7072577,239.6806284,236.5748959,239.7991705,236.9853884,239.8099896,236.490366
2007,239.0228623,236.3929792,239.1968197,236.4132641,239.0692474,236.5882287,239.1885306,236.5079221,239.1497794,236.5345416,238.8792812,236.5430388
2008,240.0490994,236.0254648,239.9256762,236.2942562,240.0755567,236.5847191,239.8302474,236.4807684,240.2149059,236.0670381,240.1199157,236.2317116
2009,240.1650095,236.348505,239.817208,236.1764557,240.2773998,236.4141645,240.0369994,236.1022663,240.1328746,236.2234326,239.8288791,236.2451718
2010,238.7158249,236.8542834,238.841231,236.9570248,239.2277982,236.6058795,238.7773913,236.8713413,239.0914848,236.8810265,239.0412012,236.8092858
2011,239.6251895,236.2656818,239.5475629,236.3477219,240.0189682,235.9950508,239.7256182,236.3124289,239.9713632,236.4175932,240.0484678,236.3422576
2012,239.6617193,236.584953,239.9353735,236.7363563,239.980859,236.4902089,240.1624651,236.4110722,239.8536664,236.575021,239.9186586,236.5606688
2013,239.6561289,236.7451059,239.9870618,236.6691351,239.8425926,236.5436422,239.840606,236.8150723,239.9775268,236.8262942,240.1202926,236.7666064
2014,239.9549171,236.6999955,240.1394578,236.9624885,239.96293,236.9476088,240.3908993,237.0194032,239.6191005,237.0507291,240.1898545,237.0879495
